"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[h]"     
          0,           0,         213,      -12.81656379,      -13.25170127,      -13.89456561,      -13.70639506
          0,           0,         214,      -12.83868693,      -13.27383908,      -13.91661224,      -13.72757613
          0,           0,         215,      -12.86072866,      -13.29604288,      -13.93857997,      -13.75145205
          0,           0,         216,      -12.88288214,      -13.31790727,      -13.96089961,      -13.77163959
          0,           0,         217,      -12.90495168,      -13.34023404,      -13.98276359,      -13.79480407
          0,           0,         218,      -12.92704467,      -13.36219675,      -14.00498478,      -13.81709225
          0,           0,         219,      -12.94919171,      -13.38426335,      -14.02711967,      -13.83776289
          0,           0,         220,      -12.97123807,      -13.40654106,      -14.04903495,       -13.8618054
          0,           0,         221,      -12.99339052,       -13.4283971,      -14.07137957,      -13.88229164
          0,           0,         222,        -13.015486,      -13.45069566,      -14.09329098,      -13.90487386
          0,           0,         223,      -13.03756822,      -13.47274204,      -14.11544551,      -13.92780166
          0,           0,         224,      -13.05973291,      -13.49473904,      -14.13766423,      -13.94811452
          0,           0,         225,      -13.08178904,      -13.51706993,      -14.15954601,      -13.97210604
          0,           0,         226,      -13.10393411,      -13.53894235,      -14.18188864,      -13.99306491
          0,           0,         227,      -13.12605573,      -13.56119019,      -14.20386663,      -14.01500959
          0,           0,         228,      -13.14812891,       -13.5833251,      -14.22594728,        -14.038482
          0,           0,         229,      -13.17030417,      -13.60526317,      -14.24823848,      -14.05863069
          0,           0,         230,      -13.19237517,        -13.627621,      -14.27010834,      -14.08236143
          0,           0,         231,       -13.2145082,        -13.649535,      -14.29242056,      -14.10391605
          0,           0,         232,      -13.23665417,      -13.67171533,      -14.31447861,      -14.12523883
          0,           0,         233,      -13.25872192,       -13.6939348,      -14.33648743,      -14.14910269
          0,           0,         234,      -13.28090045,      -13.71583209,       -14.3588299,       -14.1693005
          0,           0,         235,      -13.30299026,      -13.73818929,      -14.38071469,       -14.1925901
          0,           0,         236,      -13.32510891,      -13.76016574,       -14.4029725,      -14.21479998
          0,           0,         237,      -13.34727527,      -13.78227049,      -14.42511801,      -14.23558509
          0,           0,         238,      -13.36934267,      -13.80456233,      -14.44706598,      -14.25964567
          0,           0,         239,      -13.39151725,      -13.82644226,      -14.46943381,      -14.28010146
          0,           0,         240,      -13.41362898,      -13.84877107,      -14.49135785,      -14.30282017
          0,           0,         241,      -13.43573301,      -13.87082533,       -14.5135455,      -14.32567253
          0,           0,         242,      -13.45791464,      -13.89285561,      -14.53577392,      -14.34606491
          0,           0,         243,      -13.47998738,      -13.91520038,      -14.55768071,      -14.37010689
          0,           0,         244,       -13.5021521,      -13.93708892,      -14.58004545,      -14.39100274
          0,           0,         245,       -13.5242868,      -13.95936658,      -14.60203161,      -14.41308386
          0,           0,         246,      -13.54637813,      -13.98150512,      -14.62414356,      -14.43649626
          0,           0,         247,      -13.56856857,      -14.00347121,      -14.64644243,      -14.45668489
          0,           0,         248,      -13.59065242,      -14.02584391,       -14.6683309,      -14.48049552
          0,           0,         249,      -13.61280298,      -14.04776736,      -14.69066517,      -14.50196577
          0,           0,         250,      -13.63495976,      -14.06997512,      -14.71272683,      -14.52341355
          0,           0,         251,      -13.65704222,      -14.09219855,      -14.73476377,      -14.54724292
          0,           0,         252,      -13.67923429,      -14.11411648,      -14.75711272,      -14.56743901
          0,           0,         253,      -13.70133401,      -14.13648958,      -14.77901018,      -14.59083375
          0,           0,         254,       -13.7234679,      -14.15846965,      -14.80129223,      -14.61294933
          0,           0,         255,      -13.74564347,      -14.18060121,      -14.82343639,      -14.63383688
          0,           0,         256,      -13.76772273,      -14.20289515,      -14.84540901,      -14.65789545
          0,           0,         257,      -13.78991016,      -14.22478999,      -14.86778634,      -14.67831147
          0,           0,         258,      -13.81202942,      -14.24713747,       -14.8897151,      -14.70115019
          0,           0,         259,      -13.83414661,      -14.26919069,      -14.91192813,      -14.72391287
          0,           0,         260,      -13.85633641,      -14.29124557,      -14.93415399,       -14.7443759
          0,           0,         261,      -13.87841816,      -14.31359379,      -14.95608074,      -14.76845086
          0,           0,         262,      -13.90059488,      -14.33549046,      -14.97845751,      -14.78927501
          0,           0,         263,      -13.92273509,      -14.35778868,      -15.00044161,      -14.81148083
          0,           0,         264,      -13.94483733,      -14.37992405,      -15.02257686,      -14.83481883
          0,           0,         265,      -13.96703555,      -14.40190909,      -15.04487504,      -14.85504146
          0,           0,         266,      -13.98912526,      -14.42428967,      -15.06677356,      -14.87891708
