"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         215,      -7.115588798,      -3.302991377,      -4.644014959,      -1.545057346
          0,           0,         216,      -7.046113438,      -3.304841869,      -4.639565112,      -1.506574145
          0,           0,         217,       -6.82325919,      -3.308614774,      -4.439334845,      -1.330788946
          0,           0,         218,      -7.097534492,      -3.308432847,      -4.666539548,      -1.551242324
          0,           0,         219,      -7.131603334,       -3.30859505,      -4.669560582,      -1.558280561
          0,           0,         220,      -7.063497143,      -3.310437497,       -4.67504109,        -1.5218565
          0,           0,         221,      -6.836784639,      -3.314200334,       -4.46574247,      -1.344341712
          0,           0,         222,      -6.584446128,      -3.320665045,      -4.211112262,      -1.106191156
          0,           0,         223,      -7.016266907,      -3.319453983,      -4.581841372,      -1.500940831
          0,           0,         224,        -7.0771539,      -3.318999474,      -4.598846301,      -1.520714651
          0,           0,         225,      -7.146366992,      -3.319567328,      -4.697655419,      -1.563574726
          0,           0,         226,      -7.123206877,      -3.321771186,      -4.814575877,      -1.573110287
          0,           0,         227,      -7.208662202,      -3.322397584,      -4.831903882,      -1.629483717
          0,           0,         228,      -7.190821375,      -3.322995249,      -4.767061558,      -1.613200472
          0,           0,         229,      -7.019636702,      -3.324756037,      -4.590543303,      -1.496882762
          0,           0,         230,      -6.817717898,      -3.328327377,      -4.414757706,       -1.32844391
          0,           0,         231,      -7.124017531,      -3.328088524,       -4.71440667,       -1.57687737
          0,           0,         232,      -7.173648185,      -3.328240298,      -4.740095596,      -1.592995613
          0,           0,         233,      -7.213484488,      -3.328878635,      -4.810618308,      -1.615645281
          0,           0,         234,      -7.099067392,      -3.330924291,      -4.742409475,      -1.560157149
          0,           0,         235,      -7.199716172,      -3.331444799,      -4.806528412,      -1.626031605
          0,           0,         236,      -7.194876801,      -3.331995372,      -4.769137234,       -1.61684048
          0,           0,         237,      -7.199802467,      -3.332635629,      -4.777247947,      -1.617324531
          0,           0,         238,      -7.057139647,      -3.334496896,      -4.650791864,      -1.528864571
          0,           0,         239,      -7.194412157,      -3.334925731,      -4.795548708,      -1.620889617
          0,           0,         240,      -7.209208097,      -3.335451682,      -4.798369308,      -1.623600064
          0,           0,         241,      -7.223293163,      -3.336127137,       -4.82601287,      -1.631274289
          0,           0,         242,      -7.082865132,      -3.338042193,      -4.703455847,      -1.550458668
          0,           0,         243,      -6.844924088,      -3.341666811,      -4.461518045,      -1.356165775
          0,           0,         244,      -6.614349751,      -3.348064226,      -4.248519195,      -1.137543522
          0,           0,         245,       -7.04474687,      -3.346828046,      -4.619294701,      -1.532143392
          0,           0,         246,      -7.108546638,      -3.346371649,       -4.63863177,      -1.553730014
          0,           0,         247,      -7.179086262,      -3.346924962,       -4.74486691,      -1.598156856
          0,           0,         248,      -7.255245643,      -3.347836556,       -4.88538501,      -1.653218708
          0,           0,         249,      -7.109595575,      -3.349965513,      -4.760921386,      -1.579730066
          0,           0,         250,      -7.210854172,      -3.350450296,      -4.828586281,      -1.646612484
          0,           0,         251,      -7.214169618,      -3.350934165,      -4.804245725,      -1.639683441
          0,           0,         252,       -7.23273825,      -3.351523374,      -4.841426223,      -1.646880925
          0,           0,         253,      -7.256540195,      -3.352197686,      -4.897524709,      -1.660267386
          0,           0,         254,      -7.108409608,      -3.354102072,      -4.754628515,      -1.576734869
